SAMPLING_EVENT_ID,LOC_ID,UMD_LANDCOVER,UMD_WATERCOVER,YEAR
S11200058,L795754,8,1,1988
S11200157,L813450,12,2,1988
S11200236,L810417,12,1,1988
S11200364,L793798,8,1,1988
S25282696,L1461922,8,2,1992
S21626810,L3331164,12,1,1994
S21627057,L3331164,12,1,1994
S21627185,L3331164,12,1,1994
S21627582,L3331164,12,1,1994
S21627739,L793798,8,1,1994
S21628037,L3331164,12,1,1994
S5437801,L790541,0,2,1995
S10404054,L810417,12,1,1996
S9186301,L1320864,12,1,1996
S9186311,L810417,12,1,1996
S9186370,L793798,8,1,1996
S9186406,L814286,9,1,1996
S9186414,L1320892,8,2,1996
S9186417,L1320895,5,1,1996
S9186438,L1320900,2,2,1996
S9186464,L1320908,12,2,1996
S9186473,L1320912,8,1,1996
S9186485,L1320915,NA,2,1996
S9186496,L1320919,8,1,1996
S9187990,L1321116,10,2,1996
S9188045,L1321125,12,1,1996
S9188072,L1321133,10,1,1996
S9188103,L1321125,12,1,1996
S9188113,L687602,12,1,1996
S9188143,L793798,8,1,1996
S9188219,L1321152,8,1,1996
S9188230,L1321155,9,2,1996
S9188240,L1321116,10,2,1996
S9188248,L1321158,1,1,1996
S18031726,L1461922,8,2,1997
S15009274,L792515,NA,2,1999
S15009290,L810417,12,1,1999
S15009315,L1461922,8,2,1999
S7481447,L810417,12,1,2000
S7481470,L1073333,0,0,2000
S7481507,L3347120,5,2,2000
S7481556,L1073340,0,0,2000
S13502755,L2126062,12,1,2001
S8872663,L1281806,13,1,2001
S8910354,L1286514,9,1,2001
S8910414,L1286520,5,1,2001
S8910435,L1286527,8,1,2001
S7481586,L810417,6,1,2002
S7481602,L1073340,0,0,2002
S10054656,L1461922,2,2,2003
S19082569,L2975667,12,2,2006
S19082611,L810417,8,1,2006
S19082648,L2975667,12,2,2006
S22056132,L810417,8,1,2006
S22061651,L810417,8,1,2006
S24257566,L1461922,12,2,2006
S24257605,L836514,8,1,2006
S24257649,L793798,12,1,2006
S24257727,L810417,8,1,2006
S24257810,L944325,0,0,2006
S3327797,L472895,12,1,2007
S3327828,L472898,13,1,2007
S3327849,L472901,12,1,2007
S4027194,L580696,6,1,2007
S4027205,L580696,6,1,2007
S4027220,L580696,6,1,2007
S6197570,L876515,8,1,2007
S9328899,L1337612,9,1,2007
S9328900,L1337613,6,1,2007
S9328902,L1337615,6,1,2007
S9328903,L1337616,6,1,2007
S9328904,L1337617,6,1,2007
S9328905,L1337618,6,1,2007
S9328906,L1337619,8,1,2007
S9328907,L1337620,8,1,2007
S9328908,L1337621,9,1,2007
S9328909,L1337622,8,1,2007
S9328910,L1337623,6,1,2007
S9328911,L1337624,8,1,2007
S9328912,L1337625,8,1,2007
S9328913,L1337626,8,1,2007
S9328914,L1337631,8,1,2007
S9328915,L1337633,5,1,2007
S9328916,L1337634,5,1,2007
S9328917,L1337635,9,1,2007
S9328918,L1337637,9,1,2007
S9328919,L1337638,12,2,2007
S9328920,L1337639,5,1,2007
S9328921,L1337640,8,1,2007
S9328922,L1337641,8,1,2007
S9328923,L1337642,6,1,2007
S9328924,L1337643,8,1,2007
S9328925,L1337644,8,1,2007
S9328926,L1337646,12,1,2007
S9328927,L1337647,8,1,2007
S9328928,L1337650,9,1,2007
S9328929,L1337651,8,1,2007
S9328930,L1337652,8,1,2007
S9328931,L1337653,8,1,2007
S9328932,L1337654,9,1,2007
S9328933,L1337655,5,1,2007
S9328934,L1337656,8,1,2007
S9328935,L1337657,8,1,2007
S9328936,L1337627,9,1,2007
S9328937,L1337628,9,1,2007
S9328938,L1337629,9,1,2007
S9328939,L1337630,6,1,2007
S9328940,L1337632,8,1,2007
S9328941,L1337636,8,1,2007
S9328942,L1337645,8,1,2007
S9328943,L1337648,8,1,2007
S9328944,L1337649,8,1,2007
S10512096,L1506195,0,1,2009
S10512187,L1506195,0,1,2009
S10512263,L1506195,0,1,2009
S10512419,L810417,12,1,2009
S10512468,L1506195,0,1,2009
S10512584,L813455,9,1,2009
S10512596,L1506195,0,1,2009
S10513410,L1461922,10,2,2009
S23790922,L3698918,0,0,2009
S4837736,L687541,12,1,2009
S5434089,L687609,0,2,2009
S5434191,L790172,9,1,2009
S5434200,L687541,12,1,2009
S5436696,L687541,12,1,2009
S5438259,L790597,12,1,2009
S5438279,L790600,12,1,2009
S5445513,L790429,9,1,2009
S5447679,L791657,12,1,2009
S5447704,L791662,8,2,2009
S5448367,L790429,9,1,2009
S5454051,L792515,0,2,2009
S5456234,L687541,12,1,2009
S5456273,L792830,9,1,2009
S5456279,L790597,12,1,2009
S5456282,L790600,12,1,2009
S5456288,L687602,9,1,2009
S5461443,L790429,9,1,2009
S5461470,L687602,9,1,2009
S5461480,L790597,12,1,2009
S5461491,L793510,12,1,2009
S5461504,L687541,12,1,2009
S5461512,L793515,7,2,2009
S5461989,L790429,9,1,2009
S5463625,L793798,6,1,2009
S5463646,L790429,9,1,2009
S5465160,L793798,6,1,2009
S5466530,L791657,12,1,2009
S5466547,L794164,9,1,2009
S5476489,L790429,9,1,2009
S5478218,L790429,9,1,2009
S5480712,L791657,12,1,2009
S5480756,L795754,8,1,2009
S5480842,L687541,12,1,2009
S5480891,L790600,12,1,2009
S5480910,L687602,9,1,2009
S5483665,L790597,12,1,2009
S5486454,L790429,9,1,2009
S5491265,L791657,12,1,2009
S5519578,L791657,12,1,2009
S5522204,L687541,12,1,2009
S5522292,L790600,12,1,2009
S5522303,L687602,9,1,2009
S5526148,L793798,6,1,2009
S5526158,L792830,9,1,2009
S5526162,L793510,12,1,2009
S5526172,L687541,12,1,2009
S5529613,L791662,8,2,2009
S5529655,L801883,0,0,2009
S5535287,L790429,9,1,2009
S5537046,L791657,12,1,2009
S5543939,L790600,12,1,2009
